actual,predicted
192.3833,192.3833
192.47,192.47
192.47,192.47
192.5,192.5
192.47,192.47
192.45,192.45
192.47,192.47
192.45,192.45
192.46,192.46
192.4093,192.4093
192.38,192.38
192.37,192.37
192.4,192.4
192.41,192.41
192.4,192.4
192.4,192.4
192.35,192.35
192.32,192.32
192.46,192.46
192.49,192.49
192.5,192.5
192.4999,192.4999
192.49,192.49
192.49,192.49
192.3872,192.3872
192.48,192.48
192.4801,192.4801
192.5,192.5
192.49,192.49
192.35,192.35
192.49,192.49
192.46,192.46
192.4435,192.4435
192.48,192.48
192.42,192.42
192.43,192.43
192.43,192.43
192.4499,192.4499
192.4499,192.4499
192.4,192.4
192.3682,192.3682
192.42,192.42
192.41,192.41
192.36,192.36
192.4,192.4
192.4,192.4
192.3718,192.3718
192.45,192.45
192.25,192.25
192.25,192.25
192.45,192.45
192.49,192.49
192.45,192.45
192.47,192.47
192.4509,192.4509
192.45,192.45
192.46,192.46
192.47,192.47
192.46,192.46
192.44,192.44
192.48,192.48
192.46,192.46
192.42,192.42
192.47,192.47
192.43,192.43
192.45,192.45
192.47,192.47
192.46,192.46
192.49,192.49
192.49,192.49
192.47,192.47
192.4799,192.4799
192.49,192.49
192.48,192.48
192.4701,192.4701
192.49,192.49
192.4894,192.4894
192.49,192.49
192.48,192.48
192.48,192.48
192.48,192.48
192.77,192.77
192.69,192.69
192.7,192.7
192.74,192.74
193.0,193.0
193.15,193.15
193.08,193.08
193.09,193.09
193.1,193.1
192.9,192.9
192.91,192.91
192.84,192.84
192.88,192.88
192.9,192.9
192.9,192.9
192.85,192.85
192.92,192.92
192.92,192.92
192.85,192.85
192.93,192.93
193.06,193.06
193.15,193.15
193.1,193.1
193.1,193.1
193.1,193.1
192.91,192.91
192.92,192.92
192.92,192.92
193.08,193.08
193.0,193.0
193.1,193.1
193.1,193.1
193.12,193.12
193.13,193.13
193.12,193.12
193.02,193.02
193.12,193.12
193.1,193.1
193.0,193.0
192.98,192.98
193.03,193.03
193.0,193.0
193.11,193.11
193.08,193.08
193.0,193.0
193.05,193.05
193.06,193.06
193.08,193.08
193.03,193.03
193.0,193.0
193.0,193.0
192.95,192.95
192.96,192.96
192.96,192.96
192.98,192.98
192.98,192.98
192.97,192.97
193.03,193.03
193.08,193.08
193.04,193.04
193.07,193.07
193.0,193.0
193.0,193.0
193.0,193.0
193.07,193.07
193.03,193.03
193.0,193.0
192.97,192.97
192.95,192.95
192.99,192.99
193.0,193.0
192.98,192.98
193.0,193.0
192.97,192.97
192.99,192.99
193.0,193.0
193.03,193.03
193.07,193.07
193.08,193.08
193.03,193.03
193.02,193.02
193.05,193.05
193.06,193.06
193.07,193.07
193.02,193.02
193.07,193.07
193.01,193.01
193.01,193.01
193.0,193.0
192.97,192.97
192.85,192.85
192.8,192.8
192.8,192.8
192.8,192.8
192.71,192.71
192.86,192.86
192.85,192.85
192.9,192.9
192.95,192.95
193.0,193.0
192.91,192.91
192.93,192.93
192.94,192.94
192.95,192.95
192.94,192.94
192.93,192.93
192.91,192.91
192.88,192.88
192.88,192.88
192.95,192.95
192.82,192.82
192.83,192.83
192.76,192.76
192.76,192.76
192.9,192.9
193.0,193.0
192.99,192.99
192.62,192.62
192.81,192.81
193.1,193.1
193.0,193.0
193.0,193.0
193.0,193.0
192.93,192.93
192.95,192.95
192.9847,192.9847
191.77,191.77
193.0,193.0
192.98,192.98
193.44,193.44
193.24,193.24
193.42,193.42
192.97,192.97
192.9599,192.9599
192.87,192.87
192.89,192.89
192.83,192.83
192.85,192.85
192.8643,192.8643
193.0,193.0
192.9729,192.9729
192.92,192.92
192.88,192.88
192.9,192.9
192.86,192.86
192.88,192.88
192.85,192.85
192.93,192.93
192.93,192.93
192.98,192.98
192.99,192.99
193.03,193.03
192.99,192.99
192.99,192.99
192.88,192.88
192.9285,192.9285
192.9199,192.9199
192.88,192.88
192.88,192.88
192.88,192.88
192.88,192.88
192.89,192.89
192.88,192.88
192.88,192.88
192.8801,192.8801
192.89,192.89
192.88,192.88
192.88,192.88
192.91,192.91
192.92,192.92
192.9,192.9
192.96,192.96
192.8898,192.8898
192.88,192.88
192.89,192.89
192.8802,192.8802
192.89,192.89
192.8802,192.8802
192.88,192.88
192.88,192.88
192.82,192.82
192.78,192.78
192.8,192.8
192.88,192.88
192.82,192.82
192.8,192.8
192.798,192.798
192.84,192.84
192.85,192.85
192.9,192.9
192.846,192.846
192.85,192.85
192.87,192.87
192.8,192.8
192.77,192.77
192.85,192.85
192.89,192.89
192.89,192.89
192.87,192.87
192.88,192.88
192.96,192.96
192.94,192.94
192.9203,192.9203
192.71,192.71
192.6,192.6
193.0,193.0
193.04,193.04
193.01,193.01
193.32,193.32
192.78,192.78
192.76,192.76
192.78,192.78
193.13,193.13
193.015,193.015
193.52,193.52
193.28,193.28
192.9239,192.9239
193.34,193.34
193.45,193.45
193.565,193.565
193.625,193.625
193.7,193.7
193.87,193.87
193.96,193.96
194.1596,194.1596
194.2995,194.2995
194.1724,194.1724
194.33,194.33
194.24,194.24
194.15,194.15
193.9042,193.9042
194.06,194.06
194.08,194.08
194.055,194.055
193.96,193.96
194.1657,194.1657
194.3157,194.3157
194.11,194.11
194.27,194.27
194.18,194.18
194.35,194.35
194.235,194.235
194.415,194.415
194.38,194.38
194.39,194.39
194.39,194.39
194.22,194.22
194.245,194.245
194.18,194.18
194.0172,194.0172
194.22,194.22
194.345,194.345
194.56,194.56
194.74,194.74
194.63,194.63
194.605,194.605
194.87,194.87
194.8949,194.8949
194.955,194.955
194.9,194.9
194.92,194.92
194.95,194.95
194.83,194.83
194.835,194.835
194.88,194.88
194.88,194.88
194.91,194.91
194.835,194.835
194.8001,194.8001
194.785,194.785
194.82,194.82
194.7331,194.7331
194.81,194.81
194.55,194.55
194.33,194.33
194.35,194.35
194.26,194.26
194.35,194.35
194.7,194.7
194.7616,194.7616
194.835,194.835
194.82,194.82
194.63,194.63
194.53,194.53
194.5,194.5
194.46,194.46
194.44,194.44
194.435,194.435
194.5113,194.5113
194.47,194.47
194.435,194.435
194.24,194.24
194.06,194.06
194.1799,194.1799
194.16,194.16
194.04,194.04
194.1173,194.1173
193.95,193.95
193.94,193.94
193.9328,193.9328
193.95,193.95
193.76,193.76
193.82,193.82
193.76,193.76
193.6999,193.6999
193.755,193.755
193.76,193.76
193.73,193.73
193.8699,193.8699
193.87,193.87
193.95,193.95
193.825,193.825
193.83,193.83
193.83,193.83
193.825,193.825
193.76,193.76
193.85,193.85
193.91,193.91
193.96,193.96
194.14,194.14
194.185,194.185
194.23,194.23
194.35,194.35
194.3239,194.3239
194.09,194.09
194.1256,194.1256
194.11,194.11
194.13,194.13
194.2675,194.2675
194.15,194.15
194.06,194.06
194.13,194.13
193.92,193.92
193.99,193.99
194.15,194.15
194.18,194.18
194.18,194.18
194.0179,194.0179
194.098,194.098
194.07,194.07
194.12,194.12
194.38,194.38
194.27,194.27
194.195,194.195
193.9699,193.9699
194.0,194.0
194.0,194.0
193.91,193.91
193.785,193.785
193.9,193.9
193.97,193.97
194.02,194.02
193.875,193.875
193.8499,193.8499
193.71,193.71
193.7887,193.7887
193.895,193.895
193.93,193.93
194.0611,194.0611
193.985,193.985
193.7701,193.7701
193.8091,193.8091
193.935,193.935
193.88,193.88
193.89,193.89
193.9,193.9
193.9187,193.9187
193.95,193.95
193.94,193.94
193.905,193.905
193.555,193.555
193.56,193.56
193.5399,193.5399
193.57,193.57
193.615,193.615
193.5199,193.5199
193.49,193.49
193.42,193.42
193.455,193.455
193.42,193.42
193.41,193.41
193.3926,193.3926
193.38,193.38
193.33,193.33
193.33,193.33
193.38,193.38
193.325,193.325
193.2894,193.2894
193.35,193.35
193.126,193.126
193.1701,193.1701
193.13,193.13
192.965,192.965
192.95,192.95
193.15,193.15
193.15,193.15
193.1,193.1
193.119,193.119
193.09,193.09
193.26,193.26
193.295,193.295
193.24,193.24
193.27,193.27
193.23,193.23
193.2,193.2
193.2115,193.2115
193.33,193.33
193.2288,193.2288
193.21,193.21
193.19,193.19
193.1172,193.1172
193.075,193.075
193.11,193.11
193.115,193.115
193.29,193.29
193.24,193.24
193.3,193.3
193.255,193.255
193.25,193.25
193.22,193.22
193.15,193.15
193.115,193.115
193.11,193.11
193.2597,193.2597
193.21,193.21
193.2,193.2
193.25,193.25
193.22,193.22
192.98,192.98
192.8899,192.8899
193.015,193.015
193.05,193.05
193.125,193.125
193.16,193.16
193.3385,193.3385
193.385,193.385
193.49,193.49
193.61,193.61
193.6767,193.6767
193.62,193.62
193.54,193.54
193.65,193.65
193.5,193.5
193.576,193.576
193.58,193.58
193.5757,193.5757
193.76,193.76
193.77,193.77
193.7601,193.7601
193.82,193.82
193.955,193.955
193.96,193.96
193.935,193.935
193.94,193.94
193.97,193.97
193.93,193.93
193.905,193.905
193.94,193.94
193.915,193.915
193.86,193.86
193.95,193.95
193.98,193.98
193.9136,193.9136
193.94,193.94
193.9399,193.9399
193.8899,193.8899
193.84,193.84
193.8502,193.8502
193.75,193.75
193.68,193.68
193.6901,193.6901
193.77,193.77
193.7789,193.7789
193.63,193.63
193.595,193.595
193.6,193.6
193.63,193.63
193.61,193.61
193.525,193.525
193.565,193.565
193.43,193.43
193.44,193.44
193.415,193.415
193.36,193.36
193.455,193.455
193.435,193.435
193.445,193.445
193.53,193.53
193.57,193.57
193.39,193.39
193.2425,193.2425
193.275,193.275
193.15,193.15
193.215,193.215
193.195,193.195
193.1598,193.1598
193.29,193.29
193.295,193.295
193.245,193.245
193.386,193.386
193.28,193.28
193.3802,193.3802
193.28,193.28
193.3113,193.3113
193.3,193.3
193.18,193.18
193.17,193.17
193.1,193.1
193.21,193.21
193.28,193.28
193.3,193.3
193.28,193.28
193.225,193.225
193.23,193.23
193.27,193.27
193.235,193.235
193.3099,193.3099
193.28,193.28
193.435,193.435
193.45,193.45
193.35,193.35
193.31,193.31
193.2204,193.2204
193.23,193.23
193.16,193.16
193.145,193.145
193.0599,193.0599
193.08,193.08
193.1,193.1
193.13,193.13
193.05,193.05
192.96,192.96
192.94,192.94
192.98,192.98
192.965,192.965
192.95,192.95
193.02,193.02
193.0499,193.0499
193.01,193.01
193.03,193.03
193.095,193.095
193.03,193.03
193.07,193.07
193.0,193.0
193.025,193.025
193.07,193.07
193.039,193.039
193.0001,193.0001
193.08,193.08
192.995,192.995
193.08,193.08
193.1299,193.1299
193.0701,193.0701
193.1699,193.1699
193.16,193.16
193.249,193.249
193.29,193.29
193.32,193.32
193.2999,193.2999
193.41,193.41
193.3587,193.3587
193.2625,193.2625
193.37,193.37
193.2899,193.2899
193.35,193.35
193.369,193.369
193.41,193.41
193.354,193.354
193.32,193.32
193.3941,193.3941
193.42,193.42
193.4198,193.4198
193.57,193.57
193.525,193.525
193.3699,193.3699
193.28,193.28
193.42,193.42
193.425,193.425
193.52,193.52
193.4405,193.4405
193.5799,193.5799
193.558,193.558
193.471,193.471
193.445,193.445
193.63,193.63
193.54,193.54
193.58,193.58
193.635,193.635
193.5185,193.5185
193.4901,193.4901
193.425,193.425
193.585,193.585
193.52,193.52
193.66,193.66
193.8,193.8
193.795,193.795
193.78,193.78
194.09,194.09
194.1,194.1
194.1,194.1
194.15,194.15
194.2,194.2
194.2,194.2
194.23,194.23
194.35,194.35
194.35,194.35
194.32,194.32
194.33,194.33
194.3,194.3
194.27,194.27
194.29,194.29
194.26,194.26
194.15,194.15
194.29,194.29
194.1027,194.1027
194.28,194.28
194.12,194.12
194.03,194.03
194.1499,194.1499
194.27,194.27
194.28,194.28
194.1533,194.1533
194.15,194.15
194.14,194.14
194.14,194.14
194.14,194.14
194.14,194.14
194.15,194.15
194.15,194.15
194.19,194.19
194.03,194.03
194.2,194.2
194.2,194.2
194.28,194.28
194.25,194.25
194.21,194.21
194.25,194.25
194.2,194.2
194.1187,194.1187
194.16,194.16
194.03,194.03
194.13,194.13
194.13,194.13
194.12,194.12
194.11,194.11
194.1,194.1
194.06,194.06
194.08,194.08
194.1,194.1
194.08,194.08
194.1099,194.1099
194.11,194.11
194.1,194.1
194.1,194.1
194.0999,194.0999
194.1,194.1
194.1,194.1
194.15,194.15
194.13,194.13
194.08,194.08
194.13,194.13
194.13,194.13
194.08,194.08
194.08,194.08
194.1153,194.1153
194.05,194.05
194.04,194.04
194.03,194.03
194.03,194.03
194.03,194.03
194.06,194.06
194.03,194.03
